Open,Close,High,Low,Volume,Date
114,114.2,115.5,114,,01/02/25
114,113.3,114,113.3,,01/03/25
111,111.2,111.2,110.45,,01/06/25
109.05,109.8,110,109,,01/07/25
109,108,109.05,108,,01/08/25
107,105.75,107,104.25,,01/09/25
103.3,104,104,103.3,,01/10/25
107.25,107.25,107.25,107.25,,01/13/25
108.85,108.85,108.85,108.85,,01/14/25
105,106.95,106.95,105,,01/15/25
107,108,108,107,,01/16/25
109,109,109,109,,01/17/25
0,110.7,0,0,,01/20/25
0,112.2,0,0,,01/21/25
110.75,108.5,111.25,108.5,,01/22/25
109.5,109.5,109.5,109.5,,01/23/25
0,108.65,0,0,,01/24/25
0,109.1,0,0,,01/27/25
110.25,110.25,110.25,110.25,,01/28/25
110.75,110.75,110.75,110.75,,01/29/25
110.3,110.1,110.3,110.1,,01/30/25
0,110.5,0,0,,01/31/25
110.75,109.05,110.75,109.05,,02/03/25
107.8,105.55,107.8,105.4,,02/04/25
104.75,105.5,105.95,104.5,,02/05/25
105,106.25,106.5,105,,02/06/25
105,104.75,105,104.75,,02/07/25
105.5,105.5,105.5,105.5,,02/10/25
0,102.9,0,0,,02/11/25
0,103.1,0,0,,02/12/25
0,102.15,0,0,,02/13/25
100,100.15,100.15,100,,02/14/25
0,99.5,0,0,,02/17/25
99,99,99,99,,02/18/25
101.9,101.9,101.9,101.9,,02/19/25
0,100.4,0,0,,02/20/25
0,99.75,0,0,,02/21/25
0,100.1,0,0,,02/24/25
0,99.75,0,0,,02/25/25
0,99.9,0,0,,02/26/25
0,99.75,0,0,,02/27/25
0,93.05,0,0,,02/28/25
93.2,96.25,96.25,93.2,,03/03/25
96.45,96.25,97.25,96.25,,03/04/25
97.75,96.5,97.75,96.5,,03/05/25
96.8,96.7,96.8,96.7,,03/06/25
97.5,100.45,100.45,97.5,,03/07/25
99.5,99.5,100,99.5,,03/10/25
99.25,99.1,99.25,98.5,,03/11/25
0,97.95,0,0,,03/12/25
100,98.5,100,98.5,,03/13/25
97.5,97.5,97.5,97.5,,03/14/25
0,97.1,0,0,,03/17/25
0,96.75,0,0,,03/18/25
0,97.75,0,0,,03/19/25
0,97.75,0,0,,03/20/25
98.25,98.25,98.25,98.25,,03/21/25
0,97.6,0,0,,03/24/25
0,97.05,0,0,,03/25/25
0,97.6,0,0,,03/26/25
98,98,98,98,,03/27/25
0,101.3,0,0,,03/28/25
104,104.45,104.45,103.15,,03/31/25
105,106.2,106.2,104.5,,04/01/25
105,104.25,105,104.25,,04/02/25
0,101.25,0,0,,04/03/25
99.3,99.7,100.05,99.3,,04/04/25
101,102,103,101,,04/07/25
102.5,102.7,102.7,102.5,,04/08/25
101.5,101.5,102.5,101.5,,04/09/25
102.75,102.75,102.75,102.75,,04/10/25
103,103,103,103,,04/11/25
103.75,103.75,103.75,103.75,,04/14/25
104.5,104.5,104.5,104,,04/15/25
104.5,103.5,104.7,103.5,,04/16/25
103.5,103.5,103.5,103.5,,04/17/25
0,102.55,0,0,,04/21/25
0,102.35,0,0,,04/22/25
103.5,103.5,103.5,103.5,,04/23/25
0,102.25,0,0,,04/24/25
0,92.65,0,0,,04/25/25
90.9,92.4,92.4,90.9,,04/28/25
91.35,92.8,93,91.35,,04/29/25
93.25,93.25,93.25,93.25,,04/30/25
0,94.1,0,0,,05/01/25
0,94.6,0,0,,05/02/25
0,94.75,0,0,,05/05/25
96.75,97,97,96.75,,05/06/25
96.5,99.45,99.5,96.5,,05/07/25
95.7,96.75,96.75,95.65,,05/08/25
0,96.05,0,0,,05/09/25
97.05,97.75,97.75,97.05,,05/12/25
0,96.1,0,0,,05/13/25
95.5,95,95.5,95,,05/14/25
94.75,94.75,94.75,94.75,,05/15/25
0,94.9,0,0,,05/16/25
0,95.25,0,0,,05/19/25
96,96,96,96,,05/20/25
0,96.05,0,0,,05/21/25
0,96.45,0,0,,05/22/25
0,96.25,0,0,,05/23/25
0,97.8,0,0,,05/26/25
95.05,94,95.05,94,,05/27/25
94.3,94.3,94.3,94.3,,05/28/25
0,95.7,0,0,,05/29/25
0,94.55,0,0,,05/30/25
96.4,96.75,97.2,96.4,,06/02/25
97.1,97.3,97.5,96.75,,06/03/25
97.3,98.9,98.9,97.3,,06/04/25
100,100.65,100.65,100,,06/05/25
101,101.8,102.4,101,,06/06/25
102.95,103.5,103.7,102.75,,06/09/25
103.5,101.9,103.5,101.9,,06/10/25
102.7,102.7,102.7,102.7,,06/11/25
102.5,102.75,102.75,102.3,,06/12/25
103.5,103.6,103.6,103.5,,06/13/25
103.1,103.1,103.1,103.1,,06/16/25
103.75,104.2,104.2,103.75,,06/17/25
104.2,103.85,104.2,103.85,,06/18/25
0,103.5,0,0,,06/19/25
0,103.75,0,0,,06/20/25
0,104.45,0,0,,06/23/25
103.45,103.45,103.45,103.45,,06/24/25
0,103.2,0,0,,06/25/25
103.9,103.9,103.9,103.9,,06/26/25
0,106.4,0,0,,06/27/25
107,107.65,107.65,105.85,,06/30/25
103.8,103.8,103.8,103.8,,07/01/25
110,109.2,110,108.25,,07/02/25
109.8,108.45,109.8,108.45,,07/03/25
105.85,106,106,105.85,,07/04/25
106.75,106,106.75,106,,07/07/25
106.25,106.65,106.65,106.25,,07/08/25
109,108,109,107.95,,07/09/25
110,108.6,110,108.6,,07/10/25
108.75,108.75,108.75,108.75,,07/11/25
106.6,106.5,106.6,106.5,,07/14/25
104.25,104.5,104.5,104.25,,07/15/25
0,105.15,0,0,,07/16/25
105,105,105,105,,07/17/25
104.5,104.5,104.5,104.5,,07/18/25
0,104.2,0,0,,07/21/25
104.75,104.75,104.75,104.75,,07/22/25
0,104.35,0,0,,07/23/25
104.5,104.5,104.5,104.5,,07/24/25
104.45,104.5,104.5,104.45,,07/25/25
101.15,102.75,102.85,101.15,,07/28/25
103.25,104.8,104.8,103.25,,07/29/25
104.4,104.5,104.95,104,,07/30/25
104.2,103.9,104.2,103.9,,07/31/25
103.85,103,104.25,103,,08/01/25
103.2,103.2,103.2,103.2,,08/04/25
101.7,102.25,102.25,101.7,,08/05/25
102.5,102,102.5,102,,08/06/25
0,101.4,0,0,,08/07/25
101.25,101.25,101.25,101.25,,08/08/25
101.4,101,101.4,101,,08/11/25
100.25,100.25,100.25,100.25,,08/12/25
0,100.3,0,0,,08/13/25
0,99.8,0,0,,08/14/25
0,99.4,0,0,,08/15/25
99.4,99.4,99.4,99.4,,08/18/25
100,100.25,100.25,100,,08/19/25
0,101,0,0,,08/20/25
100.3,100.7,100.7,100.3,,08/21/25
100.4,99.85,100.4,99.5,,08/22/25
0,100.4,0,0,,08/25/25
100.4,100.4,100.4,100.4,,08/26/25
99.85,99.75,99.85,99.75,,08/27/25
99.6,99.6,99.65,99.6,,08/28/25
0,96.2,0,0,,08/29/25
97.9,96.4,97.9,96.4,,09/01/25
96.25,96.65,96.65,96.25,,09/02/25
96.5,96.3,96.8,96.3,,09/03/25
96,95.55,96.15,95.5,,09/04/25
95.2,94.8,95.4,94.8,,09/05/25
94.75,94.5,94.75,94.1,,09/08/25
94,94,94,93.75,,09/09/25
94,93,94,93,,09/10/25
92.3,93,93,92.3,,09/11/25
92.75,93,93.25,92.75,,09/12/25
0,92.85,0,0,,09/15/25
93.5,93.35,93.5,93.15,,09/16/25
93.5,93.5,93.5,93.5,,09/17/25
94.5,94,94.5,94,,09/18/25
0,92.65,0,0,,09/19/25
92.7,92.7,92.7,92.7,,09/22/25
92.9,92.9,92.9,92.9,,09/23/25
0,93.1,0,0,,09/24/25
92.7,92.7,92.7,92.7,,09/25/25
92.9,92.95,92.95,92.9,,09/26/25
93.75,93.85,93.85,93.5,,09/29/25
93.5,93.7,94.25,93.5,,09/30/25
93.5,92.8,93.5,92.6,,10/01/25
92.75,92,92.75,92,,10/02/25
91.9,91.7,92.25,91.7,,10/03/25
91.75,91.5,91.8,91.2,,10/06/25
91.75,91.25,91.75,90.8,,10/07/25
90.5,90.6,90.7,90.5,,10/08/25
90.75,90.5,90.75,90.5,,10/09/25
0,89.65,0,0,,10/10/25
89.15,89.3,89.3,89.15,,10/13/25
88.75,89,89,88.75,,10/14/25
89.3,91.5,91.5,89.3,,10/15/25
92.7,93,93,92.5,,10/16/25
93.5,93.2,93.5,93.2,,10/17/25
92.75,92.75,92.75,92.75,,10/20/25
0,92.05,0,0,,10/21/25
0,91.8,0,0,,10/22/25
92.6,92.6,92.6,92.6,,10/23/25
0,92.15,0,0,,10/24/25
92.5,92.5,92.5,92.5,,10/27/25
0,92.7,0,0,,10/28/25
0,92.9,0,0,,10/29/25
