Date,Price,Open,High,Low,Vol.,Change %
01/02/2025,50273,50.21,50695,48615,0.71K,2.83%
01/03/2025,49622,49.9,50350,49385,3.66K,-1.29%
01/06/2025,47326,49.1,49250,46940,3.21K,-4.63%
01/07/2025,47474,46.75,47860,45985,4.68K,0.31%
01/08/2025,45559,47.99,47995,45140,6.24K,-4.03%
01/09/2025,44987,45.09,45480,43895,10.51K,-1.26%
01/10/2025,45008,44.85,45785,43225,22.27K,0.05%
01/13/2025,48261,46.65,48570,46650,31.50K,7.23%
01/14/2025,46947,48.53,48605,46605,12.63K,-2.72%
01/15/2025,47006,47.45,47750,46450,8.69K,0.13%
01/16/2025,46241,46.2,46410,45700,4.97K,-1.63%
01/17/2025,46887,46,47405,45765,24.92K,1.40%
01/21/2025,50027,46.65,50225,46150,32.26K,6.70%
01/22/2025,48716,50.08,50700,48550,41.43K,-2.62%
01/23/2025,49123,48.83,50300,48600,17.68K,0.84%
01/24/2025,49702,49.58,49910,48205,15.83K,1.18%
01/27/2025,47862,48.82,48900,47830,0.36K,-3.70%
01/28/2025,48224,48.2,48615,48050,0.15K,0.76%
01/29/2025,51156,49.74,51330,49740,0.02K,6.08%
01/30/2025,51726,52.02,52540,51530,0.01K,1.11%
01/31/2025,53237,52,53755,51945,1.52K,2.92%
02/03/2025,53794,54.2,54620,52850,0.54K,1.05%
02/04/2025,52048,52.9,53395,51390,1.70K,-3.25%
02/05/2025,53438,51.85,53905,51850,8.89K,2.67%
02/06/2025,54502,53.91,55465,53550,37.21K,1.99%
02/07/2025,55723,53.81,56050,53660,24.71K,2.24%
02/10/2025,58039,57.3,58695,57255,41.14K,4.16%
02/11/2025,57766,57.13,59335,56375,37.59K,-0.47%
02/12/2025,55661,56.2,57000,54230,47.19K,-3.64%
02/13/2025,51383,55.66,55660,50565,10.41K,-7.69%
02/14/2025,50685,50.05,51600,48390,1.02K,-1.36%
02/18/2025,49215,50,50895,46840,3.04K,-2.90%
02/19/2025,48264,50,50395,47120,1.92K,-1.93%
02/20/2025,47494,47.35,48600,47065,0.68K,-1.60%
02/21/2025,47195,47.65,48225,46105,0.33K,-0.63%
02/24/2025,47144,46.13,47260,45110,0.19K,-0.11%
02/25/2025,44291,45.43,45835,43750,0.10K,-6.05%
02/26/2025,41336,41.33,41336,41336,0.16K,-6.67%
02/27/2025,44930,44.37,44560,44375,0.01K,8.69%
02/28/2025,44320,46.5,46545,44110,0.25K,-1.36%
03/03/2025,45213,46.95,47230,44530,0.34K,2.01%
03/04/2025,43464,45.31,45315,42510,0.98K,-3.87%
03/05/2025,41508,43.48,43905,40850,10.11K,-4.50%
03/06/2025,38240,41.87,42000,37705,3.48K,-7.87%
03/07/2025,39971,37.32,41500,37205,5.76K,4.53%
03/10/2025,41232,40.07,41370,39650,3.64K,3.15%
03/11/2025,42710,41.4,43560,40865,4.77K,3.58%
03/12/2025,42254,42.64,43345,41295,5.50K,-1.07%
03/13/2025,42076,42.45,43625,40545,0.49K,-0.42%
03/14/2025,42290,41.3,42895,41145,12.03K,0.51%
03/17/2025,41248,41.39,42005,40350,6.51K,-2.46%
03/18/2025,40755,41.45,41625,39850,7.89K,-1.20%
03/19/2025,43355,42.5,43940,41960,16.91K,6.38%
03/20/2025,42855,43.86,44150,42675,0.49K,-1.15%
03/21/2025,42605,44.75,44755,42030,0.27K,-0.58%
03/24/2025,42748,42.4,42690,41240,0.32K,0.34%
03/25/2025,41555,42.05,42630,41160,0.18K,-2.79%
03/26/2025,40870,40.55,41255,40555,0.26K,-1.65%
03/27/2025,41202,41.1,41425,41100,0.02K,0.81%
03/28/2025,40587,40.9,40900,40900,0.00K,-1.49%
03/31/2025,40667,40.82,41385,39885,0.23K,0.20%
04/01/2025,42450,40.87,42700,40450,2.02K,4.38%
04/02/2025,41263,42.47,42950,40870,3.65K,-2.80%
04/03/2025,39203,39.75,40460,38455,6.65K,-4.99%
04/04/2025,36401,39.25,39250,35265,3.86K,-7.15%
04/07/2025,37000,34.64,38560,33595,0.82K,1.65%
04/08/2025,36231,36.33,36960,35580,7.61K,-2.08%
04/09/2025,33666,34.6,35395,33305,13.98K,-7.08%
04/10/2025,33293,34.65,35140,33150,8.93K,-1.11%
04/11/2025,33463,33.72,34055,32805,12.78K,0.51%
04/14/2025,34499,34.27,34785,33710,1.59K,3.10%
04/15/2025,34407,34.5,35525,34170,2.06K,-0.27%
04/16/2025,35312,33.9,35630,33905,2.86K,2.63%
04/17/2025,35657,35.6,35835,35305,0.28K,0.98%
04/21/2025,35657,35.65,35657,35657,,0.00%
04/22/2025,34244,35.85,35850,34025,6.15K,-3.96%
04/23/2025,34160,34.67,34975,33925,11.56K,-0.25%
04/24/2025,33574,34.05,34140,33080,12.55K,-1.72%
04/25/2025,32432,33.44,33445,31950,7.19K,-3.40%
04/28/2025,32398,32.7,32700,32275,0.07K,-0.10%
04/29/2025,31856,30.9,31500,30900,0.00K,-1.67%
04/30/2025,32317,31.87,32755,31655,0.23K,1.45%
05/01/2025,32149,32.03,32280,31650,3.62K,-0.52%
05/02/2025,33078,32.09,33630,32085,4.78K,2.89%
05/05/2025,32930,32.79,33065,32600,3.08K,-0.45%
05/06/2025,34743,33.34,35085,33235,26.23K,5.51%
05/07/2025,34531,34.61,35515,34115,16.62K,-0.61%
05/08/2025,35341,34.22,35745,34220,8.95K,2.35%
05/09/2025,34618,35.7,35990,34320,7.11K,-2.05%
05/12/2025,35390,34.55,36305,34545,13.45K,2.23%
05/13/2025,35744,35.01,36150,35010,7.76K,1.00%
05/14/2025,35048,35.65,35680,34425,5.20K,-1.95%
05/15/2025,35294,35.34,35495,34450,8.95K,0.70%
05/16/2025,35156,35.35,35935,34785,3.81K,-0.39%
05/19/2025,35225,35,35460,34900,3.82K,0.20%
05/20/2025,36979,35.26,37140,35235,5.47K,4.98%
05/21/2025,36621,37.25,37775,36430,6.86K,-0.97%
05/22/2025,36356,36.54,37040,36110,6.32K,-0.72%
05/23/2025,36450,36.4,36770,35880,0.47K,0.26%
05/27/2025,37006,36.97,36975,36685,0.38K,1.53%
05/28/2025,36687,36.8,36990,36800,0.08K,-0.86%
05/29/2025,35158,35.15,35158,35158,,-4.17%
05/30/2025,34228,34.95,35355,33855,0.78K,-2.65%
06/02/2025,35015,34.1,35485,34100,4.19K,2.30%
06/03/2025,35848,35.26,36000,34970,3.62K,2.38%
06/04/2025,35650,36,36365,35415,6.57K,-0.55%
06/05/2025,36393,35.7,36590,35705,3.86K,2.08%
06/06/2025,36251,36.55,36720,35955,4.61K,-0.39%
06/09/2025,35605,36.14,36245,35450,4.95K,-1.78%
06/10/2025,34638,35.55,35555,34550,4.63K,-2.72%
06/11/2025,35913,35.16,35900,35060,4.91K,3.68%
06/12/2025,36177,36.4,36500,35765,8.37K,0.74%
06/13/2025,37894,37.59,38460,37105,9.59K,4.75%
06/16/2025,37906,38.67,39485,37395,9.55K,0.03%
06/17/2025,39309,38.18,39700,38175,11.95K,3.70%
06/18/2025,38693,39.55,40365,38655,3.56K,-1.57%
06/19/2025,41485,41.48,41795,39880,0.98K,7.22%
06/20/2025,40929,39.95,41795,39880,8.71K,-1.34%
06/23/2025,40522,41.6,41900,40290,4.11K,-0.99%
06/24/2025,35615,36.48,36550,35085,0.81K,-12.11%
06/25/2025,35401,35.45,35945,35120,0.79K,-0.60%
06/26/2025,34024,35.3,35310,34050,0.13K,-3.89%
06/27/2025,33087,33.08,33087,33087,,-2.75%
06/30/2025,32898,33.35,33450,32700,2.42K,-0.57%
07/01/2025,33693,33.1,33845,32885,9.59K,2.42%
07/02/2025,33591,33.98,34425,33210,17.11K,-0.30%
07/03/2025,33621,33.65,34210,33435,16.35K,0.09%
07/04/2025,33430,33.95,33950,33275,0.08K,-0.57%
07/07/2025,33621,33.21,34045,32985,7.42K,0.57%
07/08/2025,34219,34,34590,33895,15.26K,1.78%
07/09/2025,34304,34.32,34900,34275,8.65K,0.25%
07/10/2025,35170,34.65,35350,34655,12.66K,2.52%
07/11/2025,35561,34.93,35615,34755,10.93K,1.11%
07/14/2025,35454,35.54,36320,35090,12.25K,-0.30%
07/15/2025,34445,35.1,35145,34205,19.50K,-2.85%
07/16/2025,34809,34.65,35115,34450,14.48K,1.06%
07/17/2025,34407,35.14,35250,34325,6.84K,-1.15%
07/18/2025,33595,34.6,34600,33430,6.46K,-2.36%
07/21/2025,33159,33.83,33915,33125,2.22K,-1.30%
07/22/2025,33111,33.21,33405,32950,4.21K,-0.14%
07/23/2025,32690,33.5,33695,32605,4.15K,-1.27%
07/24/2025,32358,32.38,32435,32175,5.14K,-1.02%
07/25/2025,32499,32.1,32650,32100,0.41K,0.44%
07/28/2025,32899,32.29,33030,32130,0.25K,1.23%
07/29/2025,34103,34.1,34103,34103,0.08K,3.66%
07/30/2025,34537,33.65,33650,33650,0.01K,1.27%
07/31/2025,35279,34.68,35425,34645,4.92K,2.15%
08/01/2025,33972,35.15,35160,33770,2.90K,-3.70%
08/04/2025,34283,34.06,34370,33660,6.74K,0.92%
08/05/2025,34406,34.19,34440,33790,7.53K,0.36%
08/06/2025,33257,33.99,34105,33080,1.60K,-3.34%
08/07/2025,32951,32.95,33150,32845,2.79K,-0.92%
08/08/2025,32446,32.78,33410,32155,3.78K,-1.53%
08/11/2025,32999,32.49,33125,32400,2.69K,1.70%
08/12/2025,32409,33.06,33065,32215,2.08K,-1.79%
08/13/2025,32600,32.61,32800,32485,2.31K,0.59%
08/14/2025,32141,32.86,32860,31950,1.95K,-1.41%
08/15/2025,31031,31.97,31975,30795,2.52K,-3.45%
08/18/2025,31272,30.65,31485,30650,2.64K,0.78%
08/19/2025,31227,30.72,31375,30725,3.63K,-0.14%
08/20/2025,31906,31.37,32275,31225,2.63K,2.17%
08/21/2025,33175,32.24,33395,32015,1.96K,3.98%
08/22/2025,33573,33.4,33600,33065,0.41K,1.20%
08/25/2025,33774,33.27,33820,33250,0.06K,0.60%
08/26/2025,33460,33.6,33690,33300,0.26K,-0.93%
08/27/2025,32551,32.7,32815,32590,1.27K,-2.72%
08/28/2025,31559,31.27,31275,31275,0.00K,-3.05%
08/29/2025,31622,31.75,31870,31600,3.28K,0.20%
09/01/2025,32275,32.27,32285,31880,0.08K,2.07%
09/02/2025,31772,32.2,32625,31665,4.13K,-1.56%
09/03/2025,32112,31.52,32360,31420,3.59K,1.07%
09/04/2025,32412,31.84,32605,31840,6.65K,0.93%
09/05/2025,31969,32.52,32705,31910,6.17K,-1.37%
09/08/2025,33064,32.2,33120,32200,3.50K,3.43%
09/09/2025,32931,33.08,33110,32225,3.51K,-0.40%
09/10/2025,33122,33.24,33420,33005,3.91K,0.58%
09/11/2025,32323,32.51,32590,32310,3.10K,-2.41%
09/12/2025,32662,32.39,32800,32065,2.76K,1.05%
09/15/2025,32154,32.2,32400,32000,2.55K,-1.56%
09/16/2025,32329,31.91,32450,31910,5.07K,0.54%
09/17/2025,32401,32.6,32760,32335,1.86K,0.22%
09/18/2025,32952,32.55,33035,32545,2.38K,1.70%
09/19/2025,32308,32.66,32965,32170,2.11K,-1.95%
09/22/2025,31844,32.1,32200,31765,0.19K,-1.44%
09/23/2025,32265,32.03,32700,31990,0.33K,1.32%
09/24/2025,31903,32.16,32390,32000,0.08K,-1.12%
09/25/2025,32456,32.4,32565,32350,0.08K,1.73%
09/26/2025,32697,32.65,32710,32525,0.38K,0.74%
09/29/2025,32060,32.28,32280,32100,0.06K,-1.95%
09/30/2025,31411,32.25,32255,31430,3.97K,-2.02%
10/01/2025,31335,31.27,31385,30790,2.93K,-0.24%
10/02/2025,31455,31.44,31475,31055,4.05K,0.38%
10/03/2025,31438,31.1,31625,30970,3.86K,-0.05%
10/06/2025,33116,32.45,33215,32425,3.24K,5.34%
10/07/2025,33246,33.5,33625,33040,4.23K,0.39%
10/08/2025,32700,33.57,33570,32645,3.17K,-1.64%
10/09/2025,32363,32.19,32520,32065,2.78K,-1.03%
10/10/2025,32170,32.08,32185,31880,3.17K,-0.60%
10/13/2025,31475,31.82,31845,31345,,-2.16%
10/14/2025,31801,31.46,31860,31460,2.53K,1.04%
10/15/2025,31826,31.75,31850,31440,1.44K,0.08%
10/16/2025,32378,32.26,32650,32165,3.79K,1.73%
10/17/2025,31816,32.19,32315,31840,2.18K,-1.74%
10/20/2025,31739,31.77,31775,31590,1.69K,-0.24%
10/21/2025,32200,31.43,32270,31435,4.45K,1.45%
10/22/2025,31768,32.05,32185,31670,6.08K,-1.34%
10/23/2025,32454,32.25,32795,32250,4.11K,2.16%
10/24/2025,32016,32.2,32200,31855,1.64K,-1.35%
10/27/2025,31400,31.38,31440,31285,0.79K,-1.92%
10/28/2025,31494,31.31,31710,31315,0.02K,0.30%
10/29/2025,31869,31.86,31869,31869,0.02K,1.19%
