Start,Real Load,Load Forecast,Error_Forecasting_Load,Error_For_Load_%,Price (EUR/Mwh)
2025-01-01,49187.142916666664,47932.89625,1254.2466666666667,2.8817202606670675,-1.569375
2025-01-02,54416.885104166664,56633.865,-2216.9798958333336,-3.8790322814361873,96.76895833333333
2025-01-03,56948.58729166666,57417.46197916666,-468.87468750000033,-0.7269998303615873,97.89677083333333
2025-01-04,52690.149375,50746.81875,1943.3306250000005,3.7663109132993147,123.60854166666667
2025-01-05,51065.46083333334,47598.896562500006,3466.564270833334,7.1481936972531335,74.99916666666667
2025-01-06,56107.75666666666,53026.9721875,3080.784479166667,5.788322217788173,35.99854166666667
2025-01-07,61634.58552083333,57893.197187499994,3741.388333333334,6.413166651581968,58.9996875
2025-01-08,64115.31114583334,58679.612187499995,5435.698958333333,9.216443462005142,104.00145833333333
2025-01-09,62390.71822916667,57788.139375,4602.578854166667,7.809748298768941,125.61770833333333
...